decoded_relative_path,source_relative_path,decode_status,actual_bytes,output_sha256,notes
data/decoded_model_outputs/rf8904e/plt.vcr8904,code/legacy/model_setup/bethesda_slate/rf8904e/plt.vcr8904.Z,partial,133,c3080c7bc7f6ef7ad27d8718547aa9a07d3c2c600cf99e58e74125c5532b5ca1,stage 1 unix_compress_lzw: partial: compress invalid code 446 with table end 354
data/decoded_model_outputs/rf8904e/plt.wis.8904,model_setup/bethesda_slate/rf8904e/plt.wis.8904.Z,partial,148,620d5d3bee1f2685860da463fb89c7d4e9b57ef2a197b8779feb9e9d979ab02c,stage 1 unix_compress_lzw: partial: compress invalid code 437 with table end 362
data/decoded_model_outputs/rf8904e/rep.521dd,model_setup/bethesda_slate/rf8904e/rep.521dd.Z,partial,2195,9f702d52f2efb6d464f80bf718b970e16e7f40ce934a772364bb110c55619f49,stage 1 unix_compress_lzw: partial: compress invalid code 1731 with table end 1105
data/decoded_model_outputs/rf8904e/rep.611,model_setup/bethesda_slate/rf8904e/rep.611.Z,partial,985,b7c1726bae5ef425b9c50176696f2e5c08ec7e057aee59d306087b997dd3d636,stage 1 unix_compress_lzw: partial: compress invalid code 845 with table end 688
data/decoded_model_outputs/rf8904e/rep.critical,model_setup/bethesda_slate/rf8904e/rep.critical.Z,partial,2765,7db314d0258744714c786ecc02e097db58f76064a1136ebe07f367f0f9af5e0f,stage 1 unix_compress_lzw: partial: compress invalid code 1449 with table end 1039
data/decoded_model_outputs/rf8904e/rep.PAzone,model_setup/bethesda_slate/rf8904e/rep.PAzone.Z,partial,2145,67cbdd6f4daa391b097e249663519663861889149fe0412dbb773500509d00bf,stage 1 unix_compress_lzw: partial: compress invalid code 882 with table end 696
data/decoded_model_outputs/rf8904e/rep.sigstat,model_setup/bethesda_slate/rf8904e/rep.sigstat.Z,partial,101,fd01859252048e06f6614349a460c90ec7cec2c8f5e39a446d1f93e5974bd8f4,stage 1 unix_compress_lzw: partial: compress invalid code 323 with table end 321
data/decoded_model_outputs/rf8904e/rep.sumtime1,model_setup/bethesda_slate/rf8904e/rep.sumtime1.Z,complete,1213,bf2c745b69c0ba9d87c51c1b23fb8643af2a1eefa2aa37391a2fa963ef9ece6a,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
data/decoded_model_outputs/rf8904e/rep.turnpen,model_setup/bethesda_slate/rf8904e/rep.turnpen.Z,complete,473,68c21f83aaa5d53517d19f1b96fb450a08a5fd52ecac7f14aa85bfa9b4569a2d,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
data/decoded_model_outputs/rf8904e/rep.turnvols,model_setup/bethesda_slate/rf8904e/rep.turnvols.Z,partial,2,61c05a0775d5dfcd77ea4a0601825b6ff10ebc5f16f805baca7f89b0eb3a18ca,stage 1 unix_compress_lzw: partial: compress invalid code 259 with table end 257
data/decoded_model_outputs/rf8904e/turnvols.in,model_setup/bethesda_slate/rf8904e/turnvols.in.Z,partial,235,b65f21965bdad97ac839a475404de9f0409e37569a8b8967b290582848b38260,stage 1 unix_compress_lzw: partial: compress invalid code 441 with table end 362
data/decoded_model_outputs/rf9612a/d231.in,model_setup/bethesda_slate/rf9612a/d231.in.Z,partial,4423,26839864bdffd55341f9db71a6da4e3cdb123e7c22f5c36d44a3ccd3216cd754,stage 1 unix_compress_lzw: partial: compress invalid code 1743 with table end 1434
data/decoded_model_outputs/rf9612a/d231.out,model_setup/bethesda_slate/rf9612a/d231.out.Z,partial,1184,2bda6776c97d7fdc1e47c45f79139dd3e1d8bc3cb4483b970d0fb8e3c6b82ee5,stage 1 unix_compress_lzw: partial: compress invalid code 874 with table end 684
data/decoded_model_outputs/rf9612a/d231.turnpro,model_setup/bethesda_slate/rf9612a/d231.turnpro.Z,complete,7059,421538548b370085c588f306ddd0ca0b0686d7d5e8342dcef509b86864580b1e,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
data/decoded_model_outputs/rf9612a/externs1,model_setup/bethesda_slate/rf9612a/externs1.Z,complete,994,145dae629b3c95232e16e040f9797cdbcb3dfff80e31bf008dd3f0853b89dee7,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
data/decoded_model_outputs/rf9612a/externs2,model_setup/bethesda_slate/rf9612a/externs2.Z,complete,903,3610db6e32778d2708fc9cd4287a60ee953ea875204af3bae21f8ef3774b8779,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
data/decoded_model_outputs/rf9612a/plt.diff9689,model_setup/bethesda_slate/rf9612a/plt.diff9689.Z,partial,133,c3080c7bc7f6ef7ad27d8718547aa9a07d3c2c600cf99e58e74125c5532b5ca1,stage 1 unix_compress_lzw: partial: compress invalid code 446 with table end 354
data/decoded_model_outputs/rf9612a/plt.vcr9612,model_setup/bethesda_slate/rf9612a/plt.vcr9612.Z,partial,133,c3080c7bc7f6ef7ad27d8718547aa9a07d3c2c600cf99e58e74125c5532b5ca1,stage 1 unix_compress_lzw: partial: compress invalid code 446 with table end 354
data/decoded_model_outputs/rf9612a/rep.521dd,model_setup/bethesda_slate/rf9612a/rep.521dd.Z,partial,167,63a17bb8315f457f5155f86f99043bd92e86fb585e98414367fb064a72ec791b,stage 1 unix_compress_lzw: partial: compress invalid code 436 with table end 378
data/decoded_model_outputs/rf9612a/rep.611,model_setup/bethesda_slate/rf9612a/rep.611.Z,partial,5190,525a75eb76f64f71fd05ac254f693ac7696db1be50dc66608d0785817bcb1ef4,stage 1 unix_compress_lzw: partial: compress invalid code 1995 with table end 1825
data/decoded_model_outputs/rf9612a/rep.critical,model_setup/bethesda_slate/rf9612a/rep.critical.Z,partial,1566,076fa2bfe02bf3d6cf2d9051cfc3a9a4852cec29c4ba4b38cddb96e4a43c6c1d,stage 1 unix_compress_lzw: partial: compress invalid code 868 with table end 756
data/decoded_model_outputs/rf9612a/rep.PAzone,model_setup/bethesda_slate/rf9612a/rep.PAzone.Z,partial,2140,8c54b186781a7119ebb3c889703d7c9f088d73fc7a954b0a6a984e8c838abf90,stage 1 unix_compress_lzw: partial: compress invalid code 857 with table end 708
data/decoded_model_outputs/rf9612a/rep.sigstat,model_setup/bethesda_slate/rf9612a/rep.sigstat.Z,partial,101,fd01859252048e06f6614349a460c90ec7cec2c8f5e39a446d1f93e5974bd8f4,stage 1 unix_compress_lzw: partial: compress invalid code 323 with table end 321
data/decoded_model_outputs/rf9612a/rep.sumtime1,model_setup/bethesda_slate/rf9612a/rep.sumtime1.Z,complete,1220,7362fa0c31bc98fe9460fc75d26f2ee3168f8b169dba98a0c234826be6f37b96,stage 1 unix_compress_lzw: complete: compress stream reached clean input exhaustion; no original length field exists | stage 2 unknown: terminal_plain_or_unknown: no further pack/compress magic detected
data/decoded_model_outputs/rf9612a/rep.turnpen,model_setup/bethesda_slate/rf9612a/rep.turnpen.Z,partial,167,3d6fe87c81925958466742a34505d2354a4264c5ea2517fcf1830c019f8d1721,stage 1 unix_compress_lzw: partial: compress invalid code 436 with table end 378
data/decoded_model_outputs/rf9612a/rep.turnvols,model_setup/bethesda_slate/rf9612a/rep.turnvols.Z,partial,2,61c05a0775d5dfcd77ea4a0601825b6ff10ebc5f16f805baca7f89b0eb3a18ca,stage 1 unix_compress_lzw: partial: compress invalid code 259 with table end 257
