row_id,source_path,package_path,copy_status,size_bytes,role
paper-1997-03,/Users/dlev2617/Documents/Papers/~05-Published/Transportation Research Record (TRR) - Journal of the Transportation Research Board/TRR-SLATE,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1997-03-a-windowed-transportation-planning-model/documentation/paper_project_notes,filtered_clean_package,259230,"Paper project folder was filtered; drafts and letters excluded, while model notes/convergence materials and retained figure/source context are documented in the package."
paper-1997-03,/Users/dlev2617/Documents/~~Archives/MNCPPC/bethesda SLATE,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1997-03-a-windowed-transportation-planning-model/code/legacy,copied_filtered_encoded_originals_zipped_once,81323101,"North Bethesda SLATE model setup, EMME/2 bank, network/land-use inputs, calibration files, macros, outputs, and encoded originals represented in cleaned package."
paper-1997-03,/Users/dlev2617/Documents/~~Archives/MNCPPC/SOURCECODE/SLATE,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1997-03-a-windowed-transportation-planning-model/code/slate_emme2_macros,copied_clean_package,135931,SLATE EMME/2 macro/source folder from the M-NCPPC archive.
paper-1997-03,/Users/dlev2617/Documents/~~Archives/MNCPPC/SOURCECODE/udsource/SLATE1X,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1997-03-a-windowed-transportation-planning-model/code/slate_driver_scripts/slate1x.csh,copied_renamed_for_clarity,12267,Main SLATE shell driver script from the M-NCPPC source archive.
paper-1997-03,/Users/dlev2617/Documents/~~Archives/MNCPPC/SOURCECODE/T2MACROS/SLATEBCC.TXT,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1997-03-a-windowed-transportation-planning-model/code/slate_travel2_macros/SLATEBCC.TXT,copied_clean_package,21233,Paper-specific Travel/2/SLATE macro source file.
paper-1997-03,/Users/dlev2617/Documents/~~Archives/MNCPPC/SOURCECODE/T2MACROS/SLATEGTW.TXT,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1997-03-a-windowed-transportation-planning-model/code/slate_travel2_macros/SLATEGTW.TXT,copied_clean_package,12285,Paper-specific Travel/2/SLATE macro source file.
paper-1997-03,/Users/dlev2617/Documents/~~Archives/MNCPPC/SOURCECODE/T2MACROS/SLATENB.TXT,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1997-03-a-windowed-transportation-planning-model/code/slate_travel2_macros/SLATENB.TXT,copied_clean_package,13190,Paper-specific Travel/2/SLATE macro source file.
paper-1997-03,/Users/dlev2617/Documents/~~Archives/MNCPPC/SOURCECODE/T2MACROS/SLATERKV.TXT,/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1997-03-a-windowed-transportation-planning-model/code/slate_travel2_macros/SLATERKV.TXT,copied_clean_package,21353,Paper-specific Travel/2/SLATE macro source file.
paper-1997-03,/Users/dlev2617/Documents/~~Archives/MNCPPC/SOURCECODE/T2MACROS,/Users/dlev2617/Documents/Code/Agents/github-packages/_shared_sources/mncppc-travel2-source/mncppc_sourcecode_t2macros,deduplicated_shared_source_hash_verified,468226,Full Travel/2 macro directory is shared across Travel/2/SLATE packages; not duplicated inside the 1997-03 paper package. See SHARED_SOURCE_POINTERS.md.
paper-1997-03,"/Users/dlev2617/Documents/~Sidekick Scans/MNCPPC-CONSULTING/1995_SLATE, SYSTEM FOR LOCAL AREA TRAFFIC ESTIMATION, THEORY AND APPLICATION.pdf",/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1997-03-a-windowed-transportation-planning-model/documentation/scanned_context/1995_SLATE_theory_application.pdf,copied_clean_package,1465066,Scanned SLATE theory/application report found on the hard drive.
paper-1997-03,"/Users/dlev2617/Documents/~Sidekick Scans/MNCPPC-CONSULTING/1995_SLATE, SYSTEM FOR LOCAL AREA TRAFFIC ESTIMATION FLOW CHART.pdf",/Users/dlev2617/Documents/Code/Agents/github-packages/UPLOADED/paper-1997-03-a-windowed-transportation-planning-model/documentation/scanned_context/1995_SLATE_flow_chart.pdf,copied_clean_package,163475,Scanned SLATE flow-chart report found on the hard drive.
